9131,前期損益修正益,収益,3
9211,固定資産売却・除却損,費用,4
9221,投資有価証券売却損,費用,4
9231,前期損益修正損,費用,4
9241,災害損失,費用,4
9811,法人税,費用,4
9821,法人税追徴金,費用,4
9831,住民税,費用,4
9841,住民税追徴金,費用,4
9911,前期繰越利益（又は前期繰越損失）,費用,4
9921,中間配当積立金取崩額,費用,4
9931,減債積立金取崩額,費用,4
9941,事業拡張積立金取崩額,費用,4
9951,その他の特定目的積立金目的取崩額,費用,4
9971,中間配当額,費用,4
9981,中間配当に伴う利益準備金積立額,費用,4
9991,当期処分利益,費用,4
